Artist,Album,Track,Song_Length_Sec
London Symphony Orchestra & Sir Charles Mackerras,Serie Sem Limite (Disc 2),Padre Cícero,139
Scorpions,Pearl Jam,Comatose,139
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Rugas,140
Black Sabbath,BackBeat Soundtrack,C'Mon Everybody,140
Chris Cornell,In Step,Travis Walk,140
Cláudio Zoli,The Best Of Buddy Guy - The Millenium Collection,First Time I Met The Blues,140
David Coverdale,"Chronicle, Vol. 2",My Baby Left Me,140
Green Day,"Chronicle, Vol. 1",Bad Moon Rising,140
Green Day,"Chronicle, Vol. 1",Fortunate Son,140
Vinícius E Odette Lara,Album Of The Year,Got That Feeling,140
Black Sabbath,BackBeat Soundtrack,Rock 'N' Roll Music,141
Luiz Melodia,Chill: Brazil (Disc 1),Maria Fumaça,141
The Doors,Mais Do Mesmo,Geração Coca-Cola,141
Various Artists,Prenda Minha,Odara,141
Academy of St. Martin in the Fields & Sir Neville Marriner,The Doors,I Looked At You,142
DJ Dolores & Orchestra Santa Massa,Raul Seixas,Mata Virgem,142
Nação Zumbi,Cesta Básica,A Sua,142
Peter Tosh,Get Born,Take It Or Leave It,142
Titãs,Seek And Shall Find: More Of The Best (1963-1981),You're What's Happening (In The World Today),142
Black Sabbath,BackBeat Soundtrack,Carol,143
Black Sabbath,BackBeat Soundtrack,Roadrunner,143
Def Leppard,Deixa Entrar,Zeca Violeiro,143
Dhani Harrison & Jakob Dylan,Nevermind,Territorial Pissings,143
James Brown,Use Your Illusion I,Perfect Crime,143
Page & Plant,Sex Machine,Out Of Sight,143
Spyro Gyra,Vozes do MPB,Preciso Apender a Viver Só (Maysa),143
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Chapa o Coco,143
The Who,Misplaced Childhood,White Feather,143
Baby Consuelo,Bongo Fury,Cucamonga,144
Chris Cornell,In Step,The House Is Rockin',144
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,The Worst,144
Raimundos,Living After Midnight,Breaking The Law (Live),144
Stone Temple Pilots,Led Zeppelin III,Immigrant Song,144
Various Artists,Prenda Minha,Saudosismo,144
Tim Maia,Barulhinho Bom,Chuva No Brejo,145
Avril Lavigne,Olodum,"Olodum, A Banda Do Pelô",146
Faith No More,The Colour And The Shape,See You,146
Luiz Melodia,Chill: Brazil (Disc 1),Água de Beber,146
Milton Nascimento,Minha História,Top Top,146
Raul Seixas,Unplugged [Live],See You Tonight,146
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Ro-Que-Se-Da-Ne,146
Black Sabbath,BackBeat Soundtrack,Money,147
Cássia Eller,The Real Thing,Surprise! You're Dead!,147
Frank Zappa & Captain Beefheart,Minha Historia,Menino Do Rio,147
Big & Rich,Acústico MTV,Selvagem,148
Black Eyed Peas,Arquivo Os Paralamas Do Sucesso,SKA,148
Frank Sinatra,As Canções de Eu Tu Eles,O Amor Daqui De Casa,148
Regina Spektor,Live On Two Legs [Live],MFC,148
The Doors,Mais Do Mesmo,Será,148
Various Artists,Prenda Minha,Meditação,148
Academy of St. Martin in the Fields & Sir Neville Marriner,The Doors,Break on Through,149
Chico Buarque,Black Sabbath Vol. 4 (Remaster),St. Vitus Dance,149
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],Polly,149
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],Fly Me To The Moon,149
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],What Now My Love,149
Green Day,"Chronicle, Vol. 1",Who'll Stop The Rain,149
Pedro Luís & A Parede,Garage Inc. (Disc 1),Die Die My Darling,149
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,Boris The Spider,149
The Rolling Stones,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Atrás Do Trio Elétrico,149
Titãs,Seek And Shall Find: More Of The Best (1963-1981),Get My Hands On Some Lovin',149
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Grow Old With Me,149
Soundgarden,Led Zeppelin I,Communication Breakdown,150
Barry Wordsworth & BBC Concert Orchestra,Acústico,Hereditário,151
Fernanda Porto,International Superhits,Walking Contradiction,151
Gonzaguinha,Cássia Eller - Coleção Sem Limite [Disc 2],Não Sei O Que Eu Quero Da Vida,151
Marcos Valle,Afrociberdelia,Quilombo Groove [Instrumental],151
Rodox,Os Cães Ladram Mas A Caravana Não Pára,Hip Hop Rio,151
The King's Singers,Vinicius De Moraes,Um Homem Chamado Alfredo,151
Apocalyptica,Facelift,We Die Young,152
Aquaman,Minas,Minas,152
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Samba pras moças,152
Faith No More,The Colour And The Shape,Wind Up,152
Green Day,"Chronicle, Vol. 1",Lookin' Out My Back Door,152
London Symphony Orchestra & Sir Charles Mackerras,Serie Sem Limite (Disc 2),Não Quero Dinheiro,152
