Artist,Album,Track,Song_Length_Sec
Funk Como Le Gusta,Quanta Gente Veio Ver (Live),Opachorô (Live),259
Guns N' Roses,Faceless,Straight Out Of Line,259
JET,Blue Moods,Sunchild,259
Jota Quest,A Real Live One,From Here To Eternity,259
Lenny Kravitz,Iron Maiden,06 - Transylvania,259
Mundo Livre S/A,Green,World Leader Pretend,259
O Rappa,Greatest Hits II,I Want To Break Free,259
Raul Seixas,Unplugged [Live],Rock And Roll All Nite,259
Sabotage E Instituto,By The Way,Universally Speaking,259
Sandra De Sá,Sambas De Enredo 2001,Tuiuti,259
Santana Feat. Eric Clapton,Vault: Def Leppard's Greatest Hits,Two Steps Behind [Acoustic Version],259
Spyro Gyra,Vozes do MPB,Aquarela (Toquinho),259
Stevie Ray Vaughan & Double Trouble,Led Zeppelin II,Bring It On Home,259
Stone Temple Pilots,Led Zeppelin III,Bron-Y-Aur Stomp,259
The King's Singers,Vinicius De Moraes,Samba Pra Endrigo,259
The Police,Greatest Hits,Love Ain't No Stranger,259
The Police,Greatest Hits,Stand By My Woman,259
Faith No More,The Colour And The Shape,My Hero,260
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",UB40 The Best Of - Volume Two [UK],Higher Ground,260
Frank Sinatra,As Canções de Eu Tu Eles,Lamento Sertanejo,260
Frank Zappa & Captain Beefheart,Minha Historia,Meu Caro Amigo,260
Guns N' Roses,Faceless,Changes,260
Guns N' Roses,Faceless,Re-Align,260
Gustav Mahler,Zooropa,Numb,260
Incognito,American Idiot,Boulevard Of Broken Dreams,260
Instituto,The Best Of R.E.M.: The IRS Years,Cuyahoga,260
Jorge Vercilo,BBC Sessions [Disc 1] [Live],What is and Should Never Be,260
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Sound of a Gun,260
Page & Plant,Sex Machine,Soul Power (Live),260
Peter Tosh,Get Born,Move On,260
Stevie Ray Vaughan & Double Trouble,Led Zeppelin II,Moby Dick,260
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,Música De Trabalho,260
The Police,Greatest Hits,Wanted Dread And Alive,260
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,God,260
Aaron Goldberg,Rotten Apples: Greatest Hits,Ava Adore,261
Aaron Goldberg,Rotten Apples: Greatest Hits,Siva,261
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,The Police Greatest Hits,Every Little Thing She Does is Magic,261
Apocalyptica,Facelift,I Know Somethin (Bout You),261
Body Count,The Best Of Billy Cobham,Quadrant,261
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,Waiting On A Sign,261
DJ Dolores & Orchestra Santa Massa,Raul Seixas,O Dia Em Que A Terra Parou,261
Frank Sinatra,As Canções de Eu Tu Eles,Esperando Na Janela,261
Jamiroquai,Use Your Illusion II,14 Years,261
Marillion,Live After Death,Iron Maiden,261
Sandra De Sá,Sambas De Enredo 2001,Mocidade,261
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,Esperando Por Mim,261
The Police,Greatest Hits,American Woman,261
The Postal Service,Tribute,Dee,261
The Postal Service,Tribute,Flying High Again,261
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Assaltaram A Gramática,261
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Honolulu,261
UB40,Load,Hero Of The Day,261
Vinícius E Qurteto Em Cy,Unplugged,Tenho Sede,261
Wilhelm Kempff,The Singles,Hitsville UK,261
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Serie Sem Limite (Disc 1),O Descobridor Dos Sete Mares,262
Big & Rich,Acústico MTV,Navegar Impreciso,262
Ed Motta,Greatest Kiss,Cold Gin,262
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",How To Dismantle An Atomic Bomb,Yahweh,262
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Volume Dois,Miséria,262
Jackson Browne,Compositores,Quem Mata A Mulher Mata O Melhor,262
Jaguares,Walking Into Clarksdale,Please Read The Letter,262
Jorge Ben,Supernatural,Maria Maria,262
Luiz Melodia,Chill: Brazil (Disc 1),Menino do Rio,262
Marvin Gaye,Live At Donington 1992 (Disc 2),The Clairvoyant,262
O Rappa,Greatest Hits II,A Kind Of Magic,262
Simply Red,Houses Of The Holy,D'Yer Mak'er,262
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,I Can See For Miles,262
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,Join Together,262
The Police,Greatest Hits,The Deeper The Love,262
The Police,Greatest Hits,The Right Thing,262
Yo-Yo Ma,Beyond Good And Evil,Speed Of Light,262
AC/DC,For Those About To Rock We Salute You,Breaking The Rules,263
AC/DC,For Those About To Rock We Salute You,Evil Walks,263
Aaron Goldberg,Rotten Apples: Greatest Hits,1979,263
Billy Cobham,Audioslave,Set It Off,263
Deep Purple,Come Taste The Band,I Need Love,263
Eric Clapton,One By One,All My Life,263
Funk Como Le Gusta,Quanta Gente Veio Ver (Live),Pela Internet (Live),263
Iron Maiden,Appetite for Destruction,Out Ta Get Me,263
Jorge Vercilo,BBC Sessions [Disc 1] [Live],I Can't Quit You Baby,263
Luiz Melodia,Chill: Brazil (Disc 1),A Paz,263
Men At Work,No Prayer For The Dying,No Prayer For The Dying,263
O Rappa,Greatest Hits II,The Show Must Go On,263
Planet Hemp,Surfing with the Alien (Remastered),Surfing with the Alien,263
Santana Feat. Maná,Stormbringer,Love Don't Mean a Thing,263
Scorpions,Pearl Jam,Marker In The Sand,263
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,Love Is Blindness,263
The Police,Greatest Hits,Fairground,263
The Rolling Stones,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Condição,263
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Midlife Crisis,263
Vinícius De Moraes,The Cream Of Clapton,I Shot The Sheriff,263
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,"Dois Pra Lá, Dois Pra Cá",263
Vinícius E Qurteto Em Cy,Unplugged,Aquele Abraço,263
Alice In Chains,Big Ones,Dude (Looks Like A Lady),264
Alice In Chains,Big Ones,Rag Doll,264
Barry Wordsworth & BBC Concert Orchestra,Acústico,Marvin,264
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,All Along The Watchtower,264
Caetano Veloso,Black Sabbath,The Wizard,264
Cake,Retrospective I (1974-1980),Anthem,264
João Gilberto,Na Pista,Férias,264
Karsh Kale,Maquinarama,Preto Damião,264
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,I Go Wild,264
Santana,Deep Purple In Rock,Speed King,264
Seu Jorge,Blood Sugar Sex Magik,Under The Bridge,264
Temple of the Dog,Morning Dance,Little Linda,264
Vinícius De Moraes,The Cream Of Clapton,Knockin On Heavens Door,264
Vinícius E Qurteto Em Cy,Unplugged,Realce,264
Whitesnake,Ride The Lightning,Escape,264
Aquaman,Minas,Trastevere,265
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Contraband,Big Machine,265
Cidade Negra,Chemical Wedding,Gates Of Urizen,265
Djavan,In Your Honor [Disc 2],Another Round,265
Godsmack,Quanta Gente Veio ver--Bônus De Carnaval,Pretinha,265
Joe Satriani,A Real Dead One,Transylvania,265
Lost,Garage Inc. (Disc 2),The Prince,265
Raimundos,Living After Midnight,Freewheel Burning,265
Seu Jorge,Blood Sugar Sex Magik,Naked In The Rain,265
The Police,Greatest Hits,Buk-In-Hamm Palace,265
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Working Class Hero,265
Banda Black Rio,Heart of the Night,Midnight,266
Bruce Dickinson,Alcohol Fueled Brewtality Live! [Disc 1],A.N.D.R.O.T.A.Z.,266
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",Transmission,Release,266
Chicago Symphony Orchestra & Fritz Reiner,All That You Can't Leave Behind,Kite,266
Eric Clapton,One By One,Times Like These,266
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],It Was A Very Good Year,266
Göteborgs Symfoniker & Neeme Järvi,Worlds,OAM's Blues,266
James Levine,Pop,Gone,266
João Gilberto,Na Pista,Felicidade Urgente,266
Los Lonely Boys,Motley Crue Greatest Hits,Bitter Pill,266
Luciana Souza/Romero Lubambo,Judas 0: B-Sides and Rarities,Here's To The Atom Bomb,266
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Wide Awake,266
R.E.M. Feat. KRS-One,Jota Quest-1995,A Tarde,266
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Wild Hearted Son,266
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,Longe Do Meu Lado,266
Alanis Morissette,Let There Be Rock,Bad Boy Boogie,267
Antônio Carlos Jobim,Jagged Little Pill,Head Over Feet,267
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,Pride (In The Name Of Love),267
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Contraband,Sucker Train Blues,267
Creedence Clearwater Revival,King For A Day Fool For A Lifetime,The Last To Know,267
Gene Krupa,Djavan Ao Vivo - Vol. 02,Faltando Um Pedaço,267
Gerald Moore,Carry On,Silence the Voices,267
Gilberto Gil,Cidade Negra - Hits,Sábado A Noite,267
Jackson Browne,Compositores,Poeira,267
Nicolaus Esterhazy Sinfonia,A-Sides,Rusty Cage,267
Nirvana,Seventh Son of a Seventh Son,The Clairvoyant,267
Santana Feat. Maná,Stormbringer,High Ball Shooter,267
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Caffeine,267
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Live [Disc 1],Sting Me,268
Aquaman,Minas,Saudade Dos Aviões Da Panair (Conversando No Bar),268
DJ Dolores & Orchestra Santa Massa,Raul Seixas,"Muita Estrela, Pouca Constelação",268
Dread Zeppelin,Miles Ahead,My Ship,268
Eric Clapton,One By One,Low,268
Iron Maiden,Appetite for Destruction,Nightrain,268
James Brown,Use Your Illusion I,Bad Apples,268
Los Lonely Boys,Motley Crue Greatest Hits,Without You,268
Marillion,Live After Death,The Trooper,268
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,Suck On The Jugular,268
Os Mutantes,Cássia Eller - Sem Limite [Disc 1],Não Deixe O Samba Morrer - Cassia Eller e Alcione,268
Paul D'Ianno,Synkronized,Butterfly,268
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,The Fly,268
The Police,Greatest Hits,Money's Too Tight To Mention,268
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Sina,268
Wilhelm Kempff,The Singles,The Magnificent Seven,268
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Chico Não Vai na Corimba,269
Cidade Negra,Chemical Wedding,Killing Floor,269
Creedence Clearwater Revival,King For A Day Fool For A Lifetime,Ricochet,269
Def Leppard,Deixa Entrar,Xote Dos Milagres,269
Jota Quest,A Real Live One,The Clairvoyant,269
Los Hermanos,Out Of Time,Losing My Religion,269
Los Lonely Boys,Motley Crue Greatest Hits,Enslaved,269
Motörhead & Girlschool,Powerslave,Aces High,269
R.E.M.,Cafezinho,Equinocio,269
R.E.M. Feat. KRS-One,Jota Quest-1995,Vício,269
Sabotage E Instituto,By The Way,Can't Stop,269
Sandra De Sá,Sambas De Enredo 2001,Tradição,269
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Eu So Queria Sumir,269
UB40,Load,Until It Sleeps,269
Velvet Revolver,ReLoad,Fuel,269
AC/DC,For Those About To Rock We Salute You,Spellbound,270
Aaron Goldberg,Rotten Apples: Greatest Hits,Drown,270
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Vai Adiar,270
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Contraband,Fall To Pieces,270
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",How To Dismantle An Atomic Bomb,A Man And A Woman,270
Eric Clapton,One By One,Overdrive,270
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",UB40 The Best Of - Volume Two [UK],C'est La Vie,270
Gene Krupa,Djavan Ao Vivo - Vol. 02,Pétala,270
Gonzaguinha,Cássia Eller - Coleção Sem Limite [Disc 2],1° De Julho,270
House Of Pain,Riot Act,You Are,270
Los Lonely Boys,Motley Crue Greatest Hits,"Girls, Girls, Girls",270
Nando Reis,Chill: Brazil (Disc 2),Bumbo Da Mangueira,270
Peter Tosh,Get Born,Come Around Again,270
Peter Tosh,Get Born,Timothy,270
R.E.M.,Cafezinho,Cuando A Noite Vai Chegando,270
R.E.M. Feat. KRS-One,Jota Quest-1995,Há Quanto Tempo,270
Rush,Coda,Walter's Walk,270
Santana Feat. Maná,Stormbringer,Holy Man,270
Scorpions,Pearl Jam,Severed Hand,270
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,Acrobat,270
Stereo Maracana,Californication,Parallel Universe,270
Temple of the Dog,Morning Dance,It Doesn't Matter,270
The Police,Greatest Hits,Holding Back The Years,270
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Açai,270
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Kindergarten,270
Vinícius E Odette Lara,Album Of The Year,Stripsearch,270
Vinícius E Qurteto Em Cy,Unplugged,Palco,270
Audioslave,Warner 25 Anos,"Canta, Canta Mais",271
Buddy Guy,Alcohol Fueled Brewtality Live! [Disc 2],The Beginning...At Last,271
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],Aneurysm,271
Def Leppard,Deixa Entrar,Oração,271
Djavan,In Your Honor [Disc 2],On The Mend,271
Ed Motta,Greatest Kiss,I Was Made For Loving You,271
Frank Sinatra,As Canções de Eu Tu Eles,A Volta Da Asa Branca,271
Luiz Melodia,Chill: Brazil (Disc 1),Wave (Vou te Contar),271
Milton Nascimento & Bebeto,Da Lama Ao Caos,Samba Makossa,271
Nando Reis,Chill: Brazil (Disc 2),Abrir A Porta,271
Nash Ensemble,Pachelbel: Canon & Gigue,Canon and Gigue in D Major: I. Canon,271
Otto,New Adventures In Hi-Fi,How The West Was Won And Where It Got Us,271
Seu Jorge,Blood Sugar Sex Magik,Blood Sugar Sex Magik,271
Simply Red,Houses Of The Holy,The Ocean,271
The Doors,Mais Do Mesmo,Eduardo E Mônica,271
Aquaman,Minas,Ponta de Areia,272
Baby Consuelo,Bongo Fury,200 Years Old,272
Cake,Retrospective I (1974-1980),2112 Overture,272
Chicago Symphony Orchestra & Fritz Reiner,All That You Can't Leave Behind,Stuck In A Moment You Can't Get Out Of,272
Green Day,"Chronicle, Vol. 1",I Put A Spell On You,272
Instituto,The Best Of R.E.M.: The IRS Years,Don't Go Back To Rockville,272
Karsh Kale,Maquinarama,Fica,272
Marcos Valle,Afrociberdelia,Samidarish [Instrumental],272
Miles Davis,Outbreak,Plan B,272
Peter Tosh,Get Born,Radio Song,272
Santana Feat. Eric Clapton,Vault: Def Leppard's Greatest Hits,Bringin' On The Heartbreak,272
Santana Feat. Rob Thomas,Machine Head,Space Truckin',272
The Who,Misplaced Childhood,Childhoods End?,272
Wilhelm Kempff,The Singles,Bankrobber,272
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",20th Century Masters - The Millennium Collection: The Best of Scorpions,Send Me an Angel,273
Banda Black Rio,Heart of the Night,Heart of the Night,273
Banda Black Rio,Heart of the Night,Playtime,273
Battlestar Galactica,The Best Of Men At Work,It's a Mistake,273
Black Label Society,Out Of Exile,Yesterday To Tomorrow,273
Bruce Dickinson,Alcohol Fueled Brewtality Live! [Disc 1],Phoney Smile Fake Hellos,273
Eric Clapton,One By One,Disenchanted Lullaby,273
Gerald Moore,Carry On,Disappearing Act,273
Gilberto Gil,Cidade Negra - Hits,A Cor Do Sol,273
Iron Maiden,Appetite for Destruction,Welcome to the Jungle,273
Marcos Valle,Afrociberdelia,Maracatu Atômico [Atomic Version],273
Mônica Marianno,Rock In Rio [CD1],The Trooper,273
Ney Matogrosso,Carnaval 2001,X-9 2001,273
Nirvana,Seventh Son of a Seventh Son,The Evil That Men Do,273
O Rappa,Greatest Hits II,Headlong,273
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,Blinded By Rainbows,273
System Of A Down,Physical Graffiti [Disc 2],Black Country Woman,273
The Police,Greatest Hits,Can't Get You Off My Mind,273
The Police,Greatest Hits,Sweet Lady Luck,273
Titãs,Seek And Shall Find: More Of The Best (1963-1981),"Abraham, Martin And John",273
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Everything's Ruined,273
Aerosmith & Sierra Leone's Refugee Allstars,Demorou...,A Moça e a Chuva,274
Banda Black Rio,Heart of the Night,Best Thing,274
Body Count,The Best Of Billy Cobham,Do what cha wanna,274
Gene Krupa,Djavan Ao Vivo - Vol. 02,Lilás,274
Guns N' Roses,Faceless,Serenity,274
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Revelations,Shape of Things to Come,274
Ney Matogrosso,Carnaval 2001,Leandro De Itaquera 2001,274
Olodum,The Number of The Beast,Children of the Damned,274
Orchestra of The Age of Enlightenment,B-Sides 1980-1990,A Room At The Heartbreak Hotel,274
Os Mutantes,Cássia Eller - Sem Limite [Disc 1],Admirável Gado Novo,274
Santana,Deep Purple In Rock,Living Wreck,274
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Heart Of Soul,274
Soundgarden,Led Zeppelin I,Your Time Is Gonna Come,274
Spyro Gyra,Vozes do MPB,Chão de Giz (Elba Ramalho),274
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Mun-Ra,274
Vinícius E Qurteto Em Cy,Unplugged,Tears In Heaven,274
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Give Peace a Chance,274
Battlestar Galactica (Classic),Milton Nascimento Ao Vivo,Nos Bailes Da Vida,275
Black Eyed Peas,Arquivo Os Paralamas Do Sucesso,Quase Um Segundo,275
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],My Way,275
Green Day,"Chronicle, Vol. 1",Susie Q,275
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Live [Disc 2],Twice As Hard,275
João Gilberto,Na Pista,Flor Do Futuro,275
João Suplicy,Brave New World,The Wicker Man,275
Marillion,Live After Death,The Number Of The Beast,275
Men At Work,No Prayer For The Dying,Run Silent Run Deep,275
Passengers,Emergency On Planet Earth,Hooked Up,275
Pedro Luís E A Parede,News Of The World,Spread Your Wings,275
Stevie Ray Vaughan & Double Trouble,Led Zeppelin II,Ramble On,275
Temple of the Dog,Morning Dance,Jubilee,275
The King's Singers,Vinicius De Moraes,O Velho E Aflor,275
Tim Maia,Barulhinho Bom,Ao Meu Redor,275
Black Label Society,Out Of Exile,Heaven's Dead,276
Buddy Guy,Alcohol Fueled Brewtality Live! [Disc 2],Like A Bird,276
Dread Zeppelin,Miles Ahead,New Rhumba,276
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Volume Dois,Eu E Ela,276
House Of Pain,Riot Act,Love Boat Captain,276
James Levine,Pop,Staring At The Sun,276
Jorge Ben,Supernatural,Corazon Espinado,276
Los Lonely Boys,Motley Crue Greatest Hits,Wild Side,276
Marillion,Live After Death,Aces High,276
Maurizio Pollini,The Best Of 1980-1990,Where The Streets Have No Name,276
Ney Matogrosso,Carnaval 2001,Vai-Vai 2001,276
Raimundos,Living After Midnight,Heading Out To The Highway (Live),276
Santana Feat. Eagle-Eye Cherry,The Battle Rages On,Nasty Piece Of Work,276
Santana Feat. Lauryn Hill & Cee-Lo,Purpendicular,A Touch Away,276
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,One,276
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,Zoo Station,276
The Doors,Mais Do Mesmo,Perfeição,276
The Police,Greatest Hits,Jah Seh No,276
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Tudo Igual,276
A Cor Do Som,MK III The Final Concerts [Disc 1],Stormbringer,277
Apocalyptica,Facelift,It Ain't Like That,277
Barão Vermelho,The Essential Miles Davis [Disc 1],New Rhumba,277
Billy Cobham,Audioslave,Show Me How to Live,277
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,Life Line,277
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,Walking Wounded,277
Eric Clapton,One By One,Lonely As You,277
House Of Pain,Riot Act,All or None,277
Orchestra of The Age of Enlightenment,B-Sides 1980-1990,Luminous Times (Hold On To Love),277
Sabotage E Instituto,By The Way,Don't Forget Me,277
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Seduzir,277
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",War,Sunday Bloody Sunday,278
Aquaman,Minas,"Fé Cega, Faca Amolada",278
Battlestar Galactica,The Best Of Men At Work,Dr. Heckyll & Mr. Jive,278
Black Label Society,Out Of Exile,Dandelion,278
Dennis Chambers,In Your Honor [Disc 1],Free Me,278
Gonzaguinha,Cássia Eller - Coleção Sem Limite [Disc 2],Juventude Transviada (Ao Vivo),278
Karsh Kale,Maquinarama,Água E Fogo,278
Marillion,Live After Death,Children Of The Damned,278
Regina Spektor,Live On Two Legs [Live],Nothingman,278
Santana Feat. Eagle-Eye Cherry,The Battle Rages On,One Man's Meat,278
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,Until The End Of The World,278
Smashing Pumpkins,IV,Misty Mountain Hop,278
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,L'Avventura,278
The Rolling Stones,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Sereia,278
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,Saudosa Maloca,278
Vinícius E Qurteto Em Cy,Unplugged,Toda Menina Baiana,278
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,#9 Dream,278
Billy Cobham,Audioslave,Gasoline,279
Black Label Society,Out Of Exile,Be Yourself,279
Los Lonely Boys,Motley Crue Greatest Hits,Don't Go Away Mad (Just Go Away),279
Nando Reis,Chill: Brazil (Disc 2),Garota De Ipanema,279
Nando Reis,Chill: Brazil (Disc 2),Linha Do Horizonte,279
Orchestra of The Age of Enlightenment,B-Sides 1980-1990,Silver And Gold,279
Seu Jorge,Blood Sugar Sex Magik,My Lovely Man,279
The Flaming Lips,Original Soundtracks 1,One Minute Warning,279
The Posies,O Samba Poconé,Sem Terra,279
Velvet Revolver,ReLoad,The Memory Remains,279
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Crack Hitler,279
Antônio Carlos Jobim,Jagged Little Pill,Mary Jane,280
Cake,Retrospective I (1974-1980),Bastille Day,280
Gene Krupa,Djavan Ao Vivo - Vol. 02,Esquinas,280
Hermeto Pascoal,The Best of Ed Motta,Sombras Do Meu Destino,280
James Levine,Pop,The Playboy Mansion,280
Legião Urbana,Fear Of The Dark,Childhood's End,280
Maurizio Pollini,The Best Of 1980-1990,I Still Haven't Found What I'm Looking For,280
Mötley Crüe,Rock In Rio [CD2],The Evil That Men Do,280
Nando Reis,Chill: Brazil (Disc 2),Momentos Que Marcam,280
Nirvana,Seventh Son of a Seventh Son,Only the Good Die Young,280
Queen,Up An' Atom,I'm Coming Virginia,280
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,A Via Láctea,280
The Rolling Stones,Lulu Santos - RCA 100 Anos De Música - Álbum 01,A Cura,280
Chico Science & Nação Zumbi,Body Count,Freedom Of Speech,281
Chris Cornell,In Step,Tightrope,281
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],Heart-Shaped Box,281
David Coverdale,"Chronicle, Vol. 2",Walking On The Water,281
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",How To Dismantle An Atomic Bomb,Original Of The Species,281
Gerald Moore,Carry On,Billie Jean,281
Mônica Marianno,Rock In Rio [CD1],The Wicker Man,281
Ney Matogrosso,Carnaval 2001,Perola Negra 2001,281
Paul D'Ianno,Synkronized,Deeper Underground,281
The Flaming Lips,Original Soundtracks 1,Slug,281
U2,Kill 'Em All,Jump In The Fire,281
Various Artists,Prenda Minha,Vida Boa,281
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Cold Turkey,281
Bruce Dickinson,Alcohol Fueled Brewtality Live! [Disc 1],Born To Booze,282
Funk Como Le Gusta,Quanta Gente Veio Ver (Live),Stir It Up (Live),282
Gilberto Gil,Cidade Negra - Hits,A Estrada,282
Jorge Ben,Supernatural,Africa Bamba,282
Jota Quest,A Real Live One,Can I Play With Madness,282
João Suplicy,Brave New World,The Mercenary,282
Los Lonely Boys,Motley Crue Greatest Hits,Dr. Feelgood,282
Luiz Melodia,Chill: Brazil (Disc 1),Samba da Bençaco,282
Maurizio Pollini,The Best Of 1980-1990,Sunday Bloody Sunday,282
Mônica Marianno,Rock In Rio [CD1],The Mercenary,282
Ney Matogrosso,Carnaval 2001,Gavioes 2001,282
Ney Matogrosso,Carnaval 2001,Mocidade Alegre 2001,282
Nicolaus Esterhazy Sinfonia,A-Sides,Fell On Black Days,282
Orchestra of The Age of Enlightenment,B-Sides 1980-1990,Love Comes Tumbling,282
Page & Plant,Sex Machine,Living In America,282
Peter Tosh,Get Born,Lazy Gun,282
Philharmonia Orchestra & Sir Neville Marriner,Speak of the Devil,The Wizard,282
Queen,Up An' Atom,Don't Take Your Love From Me,282
Raimundos,Living After Midnight,Tyrant (Live),282
Santana Feat. Eagle-Eye Cherry,The Battle Rages On,Solitaire,282
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Earth Mofo,282
Seu Jorge,Blood Sugar Sex Magik,Apache Rose Peacock,282
Soundgarden,Led Zeppelin I,I Can't Quit You Baby,282
Cidade Negra,Chemical Wedding,King In Crimson,283
Frank Zappa & Captain Beefheart,Minha Historia,"Bye, Bye Brasil",283
Gustav Mahler,Zooropa,The Wanderer,283
Los Lonely Boys,Motley Crue Greatest Hits,Kickstart My Heart,283
Ney Matogrosso,Carnaval 2001,Camisa Verde 2001,283
Os Cariocas,Into The Light,Don't Lie To Me,283
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Mama Africa,283
Raul Seixas,Unplugged [Live],Every Time I Look At You,283
Santana Feat. Lauryn Hill & Cee-Lo,Purpendicular,Cascades : I'm Not Your Lover,283
Santana Feat. Lauryn Hill & Cee-Lo,Purpendicular,The Purpendicular Waltz,283
Santana Feat. The Project G&B,Slaves And Masters,Fire In The Basement,283
Seu Jorge,Blood Sugar Sex Magik,Give It Away,283
System Of A Down,Physical Graffiti [Disc 2],Sick Again,283
The Police,Greatest Hits,Is This Love,283
The Postal Service,Tribute,I Don't Know,283
Antônio Carlos Jobim,Jagged Little Pill,All I Really Want,284
Apocalyptica,Facelift,Sunshine,284
Bruce Dickinson,Alcohol Fueled Brewtality Live! [Disc 1],Lost My Better Half,284
Buddy Guy,Alcohol Fueled Brewtality Live! [Disc 2],Blood In The Wall,284
Gene Krupa,Djavan Ao Vivo - Vol. 02,Acelerou,284
Gustavo & Andres Veiga & Salazar,Dark Side Of The Moon,The Great Gig In The Sky,284
Jackson Browne,Compositores,Deus,284
James Brown,Use Your Illusion I,Don't Cry (Original),284
Jamiroquai,Use Your Illusion II,Don't Cry,284
Marcos Valle,Afrociberdelia,Maracatu Atômico,284
